="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id"
="211","Kleinsorgen, Ally",="100",="134997115",="100 BK SCY",="21",="52.88",="52.88",="2019 Summer Nationals (LCM)",="Art Adamson Invitational",="11/15/2018",="Unattached",="SR",="",="992",="12"
="211","Ryan, Brie",="100",="63371010",="100 BK SCY",="20",="52.88r",="52.88",="2019 Winter US Open (LCM)",="2012 A-10 Champs",="2/24/2012",="Unattached",="MR",="",="992",="12"
="211","Tiltmann, Reilly",="100",="146151597",="100 BK SCY",="16",="52.88",="52.88",="2019 Summer Nationals (LCM)",="2019 WIAA Girls Division 1 State Meet",="11/16/2019",="Unattached",="WI",="",="992",="12"
="214","Benjamin, Kelli",="100",="74399031",="100 BK SCY",="19",="52.89",="52.89",="2017 US Open",="2013 NCAA DI - Women",="3/21/2013",="Unattached",="GU",="",="992",="12"
="214","Kalisz, Cassie",="100",="146205586",="100 BK SCY",="20",="52.89",="52.89",="2019 Summer Nationals (LCM)",="2019 SMU Invitational",="11/22/2019",="Unattached",="LA",="",="992",="12"
="214","Kylliainen, Tanja",="100",="95540619",="100 BK SCY",="22",="52.89r",="52.89",="2019 Summer Nationals (LCM)",="2015 NCAA DI - Women",="3/19/2015",="Unattached",="KY",="Yes",="992",="12"
="217","Franklin, Sara",="100",="54832367",="100 BK SCY",="22",="52.90r",="52.90",="2019 Summer Juniors (LCM)",="2011 NCAA DII ",="3/10/2011",="Unattached",="MI",="",="991",="12"
="217","Maguire, Marcie",="100",="135488599",="100 BK SCY",="19",="52.90",="52.90",="2019 Summer Nationals (LCM)",="UGA Fall Invitational 2018",="11/30/2018",="Unattached",="VA",="",="991",="12"
="219","Clarke, Charlotte",="100",="60471151",="100 BK SCY",="20",="52.91r",="52.91",="2019 Winter US Open (LCM)",="Georgia Fall Invitational",="12/2/2011",="Unattached",="VA",="",="991",="12"
="219","Fuller, Josephine",="100",="150667191",="100 BK SCY",="16",="52.91",="52.91",="2019 Summer Nationals (LCM)",="2020 VA VSI SC Senior Champs",="3/7/2020","NOVA of Virginia Aquatics, Inc",="VA",="",="991",="12"
="221","Ress, Justine",="100",="63056908",="100 BK SCY",="19",="52.92r",="52.92",="2019 Winter US Open (LCM)",="2012 Big 10 Champs women",="2/17/2012",="Unattached",="IN",="",="990",="12"
="221","Roas, Johanna",="100",="113168171",="100 BK SCY",="23",="52.92",="52.92",="2019 Summer Nationals (LCM)",="Texas Hall of Fame Swimming In",="12/2/2016",="Unattached",="CO",="Yes",="990",="12"
="221","Whiteley, Hannah",="100",="95004705",="100 BK SCY",="17",="52.92",="52.92",="2019 Summer Nationals (LCM)",="2015 LE Ohio High School State",="2/27/2015",="Unattached",="OH",="",="990",="12"
