result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1198	Schurer, Jd	200	87843762	200 BK LCM	17	2:07.78	2:07.78	2019 Winter Juniors (SCY)	2014 MA Long Course Senior Championship	7/16/2014	YMCA of Burlington County & Camden County	MA		820	67	m
1204	Glander, Ryan	200	49000149	200 BK LCM	18	2:07.79	2:07.79	2019 Winter US Open (LCM)	2010 GU TWST Speedo Champs	7/28/2010	Blue Tide Aquatics	GU		808	67	m
1205	Foley, Patrick	200	67632136	200 BK LCM	19	2:07.80	2:07.80	2019 Summer Juniors (LCM)	British Gas Nat Youth MC Championships 2012	7/17/2012	Unattached	NC		808	67	m
1205	Hunt, Edward	200	57926615	200 BK LCM	18	2:07.80	2:07.80	2019 Winter US Open (LCM)	2011 GU TWST Speedo Champs	7/26/2011	City of Plano Swimmers, Inc	NT		808	67	m
1205	Kunkel, Nick	200	48856851	200 BK LCM	18	2:07.80	2:07.80	2019 Winter US Open (LCM)	2010 IN Speedo Champions Series	7/21/2010	Northern KY Clippers Swimming	OH		808	67	m
1205	Raidt, Will	200	132913831	200 BK LCM	16	2:07.80	2:07.80	2019 Winter Juniors (SCY)	2018 NCSA Summer Swimming Champ	7/31/2018	Academy Bullets Swim Club	IL		862	67	m
1205	Ratliff, Blake	200	143369419	200 BK LCM	18	2:07.80	2:07.80	AAAA	2019 IN Indiana Senior State - LC	7/19/2019	Southeastern Swim Club	IN		808	67	m
1205	Vanzee, Jack	200	87100893	200 BK LCM	15	2:07.80	2:07.80	2019 Winter Juniors (SCY)	2014 MN MAN Red White & Bl	6/27/2014	Hastings Area Swim Team	MN		907	67	m
1211	Erazo, Eddie	200	46613024	200 BK LCM	23	2:07.81	2:07.81	2019 Winter US Open (LCM)	2010 CA Armada Spring Senior I	4/23/2010	Trojan Swim Club	CA		808	67	m
1212	Cohen, Alec	200	75217297	200 BK LCM	19	2:07.82	2:07.82	2019 Summer Juniors (LCM)	2013 Pro Series - Charlette	5/9/2013	Stingrays	GA		807	67	m
1212	Goldstein, Brandon	200	88552787	200 BK LCM	17	2:07.82	2:07.82	2019 Winter Juniors (SCY)	2014 IN NCSA Summer Swimming Cham	8/5/2014	Nation's Capital Swim Club	PV		819	67	m
1212	Presswood, Brandon	200	87709102	200 BK LCM	21	2:07.82	2:07.82	2019 Winter Juniors (SCY)	2014 CC Arena Grand Challenge	7/10/2014	Tiger Aquatics	PC		807	67	m
1215	Aronica, Phil	200	58250133	200 BK LCM	19	2:07.83	2:07.83	2019 Winter US Open (LCM)	2011 Summer Nationals	8/2/2011	STAR Swimming	NI		807	67	m
1215	Bass, Jacob	200	132946886	200 BK LCM	17	2:07.83	2:07.83	AAAA	2018 Zone Senior Champs - Huntsville	8/1/2018	Blue Tide Aquatics	GU		819	67	m
1215	Velasquez, Mig	200	132129415	200 BK LCM	18	2:07.83	2:07.83	AAAA	2018 Sectionals - Austin	7/12/2018	Austin Swim Club	ST		807	67	m
1218	Bathory, Levente	200	99138338	200 BK LCM	16	2:07.84	2:07.84	2019 Winter Juniors (SCY)	2015 NC LC SR Championships	7/26/2015	Enfinity Aquatic Club	NC		862	67	m
1218	Corbin, Adam	200	48984020	200 BK LCM	21	2:07.84	2:07.84	2019 Winter US Open (LCM)	2010 FL Swimming LC Senior Cha	7/22/2010	Unattached	FL		807	67	m
1218	Gartland, Sean	200	65724307	200 BK LCM	16	2:07.84	2:07.84	2019 Summer Juniors (LCM)	2012 Pro Series - Santa Clara 	5/31/2012	North Coast Aquatics	SI		862	67	m
1218	Gilbert, Stephen	200	143745621	200 BK LCM	16	2:07.84	2:07.84	2019 Winter Juniors (SCY)	2019 FL TYR ISCA Summer Senior Ch	7/31/2019	Occoquan Swimming Inc	PV		862	67	m
1218	Grimes, Eric	200	88552896	200 BK LCM	17	2:07.84	2:07.84	2019 Winter Juniors (SCY)	2014 IN NCSA Summer Swimming Cham	8/5/2014	Lakeside Swim Team	KY		819	67	m
1218	Harris, Hurricane	200	143294109	200 BK LCM	17	2:07.84	2:07.84	AAAA	2019 Sectionals - Minneapolis	7/20/2019	Stevens Point Area YMCA	WI		819	67	m
1218	Homan, Joey	200	133003133	200 BK LCM	19	2:07.84	2:07.84	AAAA	2018 FL CAT International Cha	8/3/2018	Schenectady-Saratoga Swim Club	AD		807	67	m
1218	Machado, Henrique	200	99626224	200 BK LCM	21	2:07.84	2:07.84	2019 Winter Juniors (SCY)	Jose Finkel Trophy	8/22/2015	Unattached	CA	Yes	807	67	m
1218	Millard, Jackson	200	143539838	200 BK LCM	15	2:07.84	2:07.84	2019 Winter Juniors (SCY)	2019 KY 13 & Over LCM State Ch	7/28/2019	Kentucky Aquatics	KY		907	67	m
1218	Miranda, Max	200	95911474	200 BK LCM	15	2:07.84	2:07.84	2019 Winter Juniors (SCY)	2015 NE SSA IMX Challenge	4/11/2015	Bluefish Swim Club	NE		907	67	m
1218	Snarski, Alex	200	77859911	200 BK LCM	17	2:07.84	2:07.84	2019 Winter Juniors (SCY)	2013 NCSA Summer Swimming Cham	7/30/2013	Cats Aquatic Team	IL		819	67	m
1229	Phillips, Austin	200	76214945	200 BK LCM	17	2:07.85	2:07.85	2019 Summer Juniors (LCM)	2013 AZ Phoenix Summer Invitation	6/13/2013	Colorado Stars	CO		818	67	m
1230	Bartholomew, Mick	200	121348627	200 BK LCM	19	2:07.86	2:07.86	AAAA	2017 OR Sectionals 	7/20/2017	RallySport Aquatic Club	CO		807	67	m
1231	Harrington, Caleb	200	99318133	200 BK LCM	16	2:07.87	2:07.87	2019 Winter Juniors (SCY)	2015 Summer Junior Nats	7/31/2015	Tennessee Aquatics	SE		861	67	m
