result_rank	full_name	distance	time_id	event_desc	swimmer_age	swim_time_formatted	alt_adj_swim_time_formatted	standard_name	meet_name	swim_date	club_name	lsc_id	foreign_yesno	hytek_power_points	event_id	gender
1020	Honsa, Bryant	1500	55095706	1500 FR LCM	19	16:20.24	16:20.24	2019 Winter Juniors (SCY)	Central Zone Section 3 Sectional Championships	3/24/2011	Indiana University	IN		794	60	m
1021	Tapia Nadales, Frank	1500	72938845	1500 FR LCM	19	16:20.25	16:20.25	AAAA	2013 Pro Series - Orlando 	2/14/2013	Clearwater Aquatic Team	FL	Yes	794	60	m
1022	McCurdy, Christian	1500	48737217	1500 FR LCM	15	16:20.26	16:20.26	2019 Winter Juniors (SCY)	2010 AM Eric Namesnik Memorial 	7/9/2010	Fox Chapel Killer Whales	AM		841	60	m
1023	Drogemuller, Brandon	1500	49305214	1500 FR LCM	19	16:20.32	16:20.32	2019 Winter Juniors (SCY)	2010 CC Western Zone Senior Meet	8/6/2010	Monterey Bay Swim Club	PC		794	60	m
1024	Silvers, Johnny	1500	49285747	1500 FR LCM	18	16:20.33	16:20.33	2019 Winter Juniors (SCY)	2010 Summer Junior Nats	8/9/2010	Sarasota YMCA Sharks	FL		794	60	m
1025	Barocio, Brandon	1500	67628253	1500 FR LCM	17	16:20.36	16:20.36	AAAA	2012 Speedo Western Section LC	7/24/2012	Mission Aurora Colorado Swimming	CO		795	60	m
1026	Doo, Kevin	1500	99209633	1500 FR LCM	17	16:20.47	16:20.47	AAAA	2015 NJS SCAR LC Junior Olympics	7/26/2015	X-Cel Swimming	NJ		795	60	m
1026	McClure, John	1500	63899174	1500 FR LCM	21	16:20.47	16:20.47	AAAA	2012 GU AGS Speedo Sectional Champs	3/1/2012	Texas A & M University	GU		794	60	m
1028	Pritchard, Thomas	1500	143868237	1500 FR LCM	18	16:20.48	16:20.48	AAAA	2019 NCSA Summer Champs	8/10/2019	Carolina Aquatic Team	NC		794	60	m
1029	Murphy, Liam	1500	143758455	1500 FR LCM	17	16:20.50	16:20.50	AAAA	2019 Futures - Geneva	8/1/2019	PACK Swim Team of Pittsford	NI		795	60	m
1030	Hedeen, Christian	1500	143794589	1500 FR LCM	18	16:20.51	16:20.51	AAAA	2019 Futures Des Moines	8/1/2019	Fond Du Lac Swim Club	WI		794	60	m
1031	Knight, Titus	1500	47819419	1500 FR LCM	21	16:20.59	16:20.59	2019 Winter Juniors (SCY)	2010 IN IUCP Cheeseburger in P	6/18/2010	Indiana University Swim Team	IN		794	60	m
